ai_system_name,company_example,country_of_origin,risk_tier,article_reference,domain,use_case,compliance_deadline,compliance_status,fine_tier_eur,requires_conformity_assessment,requires_eu_database_registration,human_oversight_required,transparency_obligation,sector,affected_fundamental_rights,deployment_countries_eu,estimated_eu_users_affected,compliance_cost_estimate_eur,market_withdrawal_required,gpai_model,systemic_risk,enforcement_active,key_risk,annual_revenue_usd_bn,days_to_deadline,deadline_days,compliance_urgency
AI-Generated News Content Tool,Associated Press Automated Insights,USA,Limited Risk,Article 50(4),Media,"AI generating news articles, summaries and editorial content",2026-08-02,Compliant,7.5M or 1% turnover,False,False,False,True,Media,"Freedom of information, Democratic debate",24,95000000,320000,False,True,False,False,AI-generated misinformation at scale,0.5,146,146,CRITICAL (<6mo)
Deepfake Detection & Generation Platform,"Synthesia, D-ID, ElevenLabs",UK/Israel/USA,Limited Risk,Article 50(2)(4),Media/Content,AI video and voice synthesis (deepfake) for content creation,2026-08-02,In Progress,7.5M or 1% turnover,False,False,False,True,Media/Entertainment,"Right to truth, Reputation, Non-manipulation",27,62000000,890000,False,True,False,False,"Non-consensual deepfakes, election interference",0.5,146,146,CRITICAL (<6mo)
AI Recommendation Algorithm (Social Media),"TikTok FYP, Instagram Reels AI",China/USA,Limited Risk,Article 50 + DSA,Social Media,AI content recommendation and feed curation for social media users,2026-08-02,In Progress,7.5M or 1% turnover,False,False,False,True,Social Media,"Autonomy, Mental health, Privacy",27,260000000,4200000,False,True,True,False,"Addictive design, radicalization pipeline",16.4,146,146,CRITICAL (<6mo)
AI Spam Filter,"Google Gmail AI, Microsoft Defender",USA,Minimal Risk,N/A,Email/Security,Automated filtering of spam and phishing emails,N/A,Exempt,N/A,False,False,False,False,Technology,None significant,27,320000000,0,False,False,False,False,Minimal,280.0,0,0,CRITICAL (<6mo)
AI-Enabled Video Game NPC,Inworld AI (Nvidia ACE integration),USA,Minimal Risk,N/A,Gaming,AI-driven non-player characters with adaptive behavior in video games,N/A,Exempt,N/A,False,False,False,False,Gaming,None significant,27,89000000,0,False,True,False,False,Minimal,0.15,0,0,CRITICAL (<6mo)
AI Product Recommendation Engine,"Amazon Personalize, Netflix AI",USA,Minimal Risk,N/A,E-commerce,Personalized product and content recommendations for online shoppers,N/A,Exempt,N/A,False,False,False,False,E-commerce/Media,None significant,27,290000000,0,False,False,False,False,Minimal — filter bubbles,514.0,0,0,CRITICAL (<6mo)
AI Translation Tool,"DeepL, Google Translate",Germany/USA,Minimal Risk,N/A,Language,Automated language translation for consumers and businesses,N/A,Exempt,N/A,False,False,False,False,Technology,None significant,27,480000000,0,False,True,False,False,Minimal — mistranslation risk,0.08,0,0,CRITICAL (<6mo)
AI Code Assistant,"GitHub Copilot, Cursor, Tabnine",USA,Minimal Risk,N/A,Developer Tools,AI-assisted code generation and completion for software developers,N/A,Exempt,N/A,False,False,False,False,Technology,None significant,27,45000000,0,False,True,False,False,Copyright/IP concerns,2.0,0,0,CRITICAL (<6mo)
GPT-4 / GPT-4o (API),OpenAI,USA,GPAI — Systemic Risk,"Article 51, Chapter V",General Purpose AI,Foundation model API for enterprise AI applications,2025-08-02,In Progress,15M or 3% turnover,True,True,False,True,Technology,"Privacy, Autonomy, Democracy",27,95000000,42000000,False,True,True,True,"Systemic misuse, mass manipulation",3.7,-219,-219,OVERDUE
Gemini Ultra / Gemini 1.5 Pro,Google DeepMind,USA,GPAI — Systemic Risk,"Article 51, Chapter V",General Purpose AI,"Multimodal foundation model for search, workspace and developer APIs",2025-08-02,In Progress,15M or 3% turnover,True,True,False,True,Technology,"Privacy, Autonomy, Democracy",27,180000000,38000000,False,True,True,True,"Systemic bias, search monopoly",307.0,-219,-219,OVERDUE
Claude 3.5 / Claude Sonnet 4,Anthropic,USA,GPAI — Systemic Risk,"Article 51, Chapter V",General Purpose AI,Foundation AI model for enterprise and consumer applications,2025-08-02,Compliant,15M or 3% turnover,True,True,False,True,Technology,"Privacy, Autonomy",27,42000000,28000000,False,True,True,True,Systemic misuse potential,1.0,-219,-219,OVERDUE
Llama 3 / Llama 4 (Open Source),Meta AI,USA,GPAI — Systemic Risk,Article 53 (Open Source Exemption),General Purpose AI,Open-source foundation model for unrestricted deployment,2025-08-02,Partial Exemption,Reduced — open source exemption,False,True,False,True,Technology,"Privacy, Safety, Autonomy",27,55000000,8500000,False,True,True,True,Uncontrolled deployment by third parties,134.9,-219,-219,OVERDUE
