ID;Titolo;Settore;Descrizione
22;"Forecasting trend moda con analisi social media";"Moda e Design";"Sviluppo di pipeline di sentiment analysis e computer vision su immagini social per anticipare colori, silhouettes e materiali in voga, supportando decisioni di collezione."
23;"Restauro virtuale di opere danneggiate";"Beni Culturali e Musei";"Addestramento di modelli inpainting AI per ricostruire digitalmente parti mancanti di affreschi o tele, supportando restauratori con ipotesi scientifiche e documentazione interattiva."
24;"Tracciamento detriti spaziali con reti neurali";"Aerospazio e Satelliti";"Implementazione di algoritmi di computer vision su dati radar e telescopici per prevedere traiettorie di space debris e ottimizzare manovre evasive di satelliti operativi."
25;"Rilevamento perdite idriche con AI acustica";"Gestione Idrica e Ambientale";"Sviluppo di modelli di audio classification per analizzare registrazioni da sensori acustici su tubazioni, identificando firme sonore di micro-fuoriuscite prima di rotture critiche."
26;"Diagnostica veterinaria assistita da imaging AI";"Veterinaria e Zootecnia";"Creazione di un sistema di supporto decisionale che analizza ecografie e radiografie animali, segnalando anomalie scheletriche, organi o tessuti molli per i clinici."
27;"Chatbot terapeutico per supporto psicologico base";"Salute Mentale e Benessere";"Implementazione di un agente conversazionale basato su NLP etico e validato clinicamente che offre tecniche di grounding, monitoraggio dell'umore e triage verso professionisti."
28;"Scheduling intelligente cantieri edili";"Edilizia e Costruzioni";"Utilizzo di algoritmi di ottimizzazione combinatoria e machine learning per pianificare turni, fornitori e attrezzature, minimizzando ritardi e sprechi di materiale."
29;"Generazione contenuti pubblicitari dinamici";"Marketing e Pubblicità";"Sviluppo di pipeline di AI generativa per creare varianti di copy, immagini e video testati automaticamente, ottimizzando CTR e conversioni per campagne cross-channel."
30;"Assistente vocale per supporto tecnico post-vendita";"Customer Service e Assistenza";"Implementazione di un sistema di speech-to-text e NLU che diagnostica guasti da descrizione vocale, guida l'utente nella risoluzione e genera ticket strutturati."
31;"Analisi predittiva sentenze giurisprudenziali";"Giustizia e Predizione Giuridica";"Addestramento di modelli NLP su database di massime e decisioni per stimare esiti probabili, identificare precedenti rilevanti e supportare la redazione di atti difensivi."
32;"Previsione produzione eolica con modelli meteorologici AI";"Energie Rinnovabili";"Integrazione di reti neurali ricorrenti con dati meteo ad alta risoluzione per prevedere output turbine nelle successive 48 ore, ottimizando immissione in rete."
33;"Smistamento automatico rifiuti con robotica AI";"Gestione Rifiuti";"Sviluppo di sistemi di computer vision e bracci robotici controllati da policy reinforcement learning per riconoscere e separare materiali riciclabili su nastri trasportatori ad alta velocità."
34;"Navigazione autonoma per navi cargo costiere";"Navigazione Marittima";"Implementazione di fusione sensoriale (radar, AIS, LiDAR) e algoritmi di path planning AI per ottimizzare rotte, evitare collisioni e ridurre consumo carburante in tratte definite."
35;"Manutenzione predittiva rotabili ferroviari";"Ferroviario e Treno";"Utilizzo di sensori vibrazionali e modelli time-series per prevedere usura freni, cricche rotaie e guasti pantografi, pianificando interventi in finestre di manutenzione notturna."
36;"Controllo volo autonomo per droni ispezione";"Aviazione e Droni";"Sviluppo di sistemi di visione e reinforcement learning per navigare in ambienti complessi (torri, ponti, linee elettriche), catturando dati strutturati senza intervento pilota."
37;"Ottimizzazione layout chip con AI generativa";"Microelettronica";"Utilizzo di algoritmi di placement e routing guidati da deep learning per ridurre lunghezze interconnessioni, migliorare dissipazione termica e accelerare tempi di progettazione ASIC."
38;"Traduzione LIS in tempo reale con computer vision";"Accessibilità e Disabilità";"Implementazione di modelli di gesture recognition e NLP per convertire movimenti mani, espressioni facciali e postura in testo parlato e viceversa, facilitando comunicazione inclusiva."
39;"Traduzione simultanea neurale per conferenze";"Linguistica e Traduzione";"Sviluppo di sistemi speech-to-speech a bassa latenza con adattamento contestuale e dominio-specifico, supportando interpreti professionisti in sessioni multilingue."
40;"Nowcasting temporali con reti neurali spaziotemporali";"Meteorologia e Clima";"Addestramento di modelli che fondono dati radar, satellitari e stazioni a terra per prevedere evoluzione di celle temporalesche nei prossimi 2-6 ore con alta risoluzione."
41;"Mappatura fondali marini con AI acustica";"Oceanografia";"Utilizzo di algoritmi di classificazione segnale sonar per distinguere tipologia di fondale, rilevare relitti o habitat corallini e generare mappe batimetriche automatizzate."
42;"Decifrazione testi antichi con OCR intelligente";"Archeologia Digitale";"Sviluppo di modelli di riconoscimento caratteri adattivi per manoscritti danneggiati, frammenti epigrafici e testi palinsesti, integrando knowledge graph storici per suggerimenti contestuali."
43;"Generazione layout architettonici vincolati";"Architettura Generativa";"Implementazione di AI condizionale che produce planimetrie ottimizzate per luce naturale, flussi pedonali e normativa edilizia, supportando progettisti in fase preliminare."
44;"Personalizzazione arredi con recommendation visiva";"Interior Design";"Sviluppo di motori di matching basati su embedding di immagini e preferenze utente per suggerire combinazioni di mobili, tessuti e illuminazione coerenti con lo stile desiderato."
45;"Analisi sentiment recensioni per brand fashion";"Trend Forecasting Moda";"Implementazione di NLP fine-tuned su lessico moda per estrarre giudizi su vestibilità, qualità e stile, aggregando insight per correggere produzioni future."
46;"Formulazione cosmetica assistita da modelli predittivi";"Cosmesi e Formulazione";"Utilizzo di reti neurali per prevedere stabilità emulsioni, compatibilità ingredienti e profilo sensoriale, accelerando sviluppo di nuovi prodotti sicuri ed efficaci."
47;"Creazione accordi profumati con AI olfattiva";"Profumeria";"Sviluppo di modelli che mappano strutture chimiche a descrittori olfattivi, generando combinazioni innovative bilanciate per piramide nota e persistenza sulla pelle."
48;"Ottimizzazione processo di vinificazione con machine learning";"Enologia";"Implementazione di algoritmi che analizzano dati di vigneto, fermentazione e affinamento per prevedere profilo sensoriale finale e suggerire correzioni in cantina."
49;"Controllo tostatura caffè con sensori e AI";"Torrefazione Caffè";"Sviluppo di sistemi di controllo adattivo che regolano temperatura, flusso d'aria e tempo in base a curve di sviluppo aromatico, garantendo consistenza tra lotti."
50;"Monitoraggio salute alveari con acoustic AI";"Apicoltura";"Utilizzo di microfoni e modelli di classificazione audio per rilevare sciamatura, presenza di varroa o stress termico, inviando alert agli apicoltori prima di perdite critiche."
51;"Rilevamento deforestazione illegale con satellite AI";"Foreste e Deforestazione";"Implementazione di pipeline di computer vision su immagini SAR e ottiche per identificare tagli non autorizzati, cambiamenti copertura vegetale e allertare autorità competenti."
52;"Ottimizzazione estrazione mineraria con modelli geostatistici AI";"Estrazione Mineraria";"Utilizzo di algoritmi di interpolazione e deep learning su dati di carotaggio e geofisica per mappare giacimenti, ridurre sprechi e pianificare scavi in sicurezza."
53;"Classificazione materiali post-consumo con AI visiva";"Riciclo ed Economia Circolare";"Sviluppo di sistemi di riconoscimento automatico su nastri di selezione per distinguere polimeri, metalli e composite, migliorando purezza frazioni riciclate."
54;"Previsione qualità acqua potabile con sensori e ML";"Purificazione Acqua";"Implementazione di modelli time-series che analizzano pH, torbidità, cloro residuo e parametri microbiologici per ottimizzare dosaggi e garantire conformità normativa."
55;"Mappatura inquinamento acustico urbano con AI";"Controllo Inquinamento Acustico";"Utilizzo di reti di microfoni low-cost e algoritmi di source separation per classificare sorgenti sonore (traffico, cantieri, svago) e generare mappe di esposizione."
56;"Simulazione flussi pedonali con agent-based AI";"Pianificazione Urbana";"Sviluppo di modelli multi-agente che replicano comportamenti cittadini in spazi pubblici, testando layout, illuminazione e arredo urbano per massimizzare sicurezza e comfort."
57;"Classificazione uso suolo con satellite e deep learning";"Uso del Suolo";"Implementazione di reti neurali convoluzionali su immagini ad alta risoluzione per mappare aree agricole, urbane, boschive e umide, supportando piani di zonizzazione."
58;"Preallerta alluvioni con modelli idrologici AI";"Gestione Disastri";"Integrazione di dati pluviometrici, livelli fiumi e modelli di runoff addestrati con machine learning per prevedere esondazioni con anticipo sufficiente per evacuazioni mirate."
59;"Dispatching risorse emergenze con ottimizzazione AI";"Risposta Emergenze";"Sviluppo di algoritmi che assegnano dinamicamente ambulanze, vigili del fuoco e mezzi di soccorso in base a gravità, distanza e disponibilità, minimizzando tempi di intervento."
60;"Localizzazione sopravvissuti con drone e termocamera AI";"Ricerca e Soccorso";"Implementazione di computer vision su feed infrarossi per identificare firme termiche umane in macerie, boschi o acque, guidando squadre di salvataggio con coordinate precise."
61;"Monitoraggio biodiversità con acoustic AI";"Conservazione Fauna";"Utilizzo di registratori passivi e modelli di classificazione specie per stimare presenza, attività e stress di fauna selvatica senza intervento umano diretto."
62;"Tracciamento migrazioni animali con AI spaziale";"Biodiversità";"Sviluppo di modelli che integrano dati GPS, telemetria e variabili ambientali per prevedere rotte migratorie, identificare corridoi ecologici e mitigare conflitti uomo-fauna."
63;"Stima popolazione impollinatori con computer vision";"Impollinazione";"Implementazione di sistemi di rilevamento insetti in volo e su fiori per monitorare densità api, bombi e farfalle, supportando politiche di tutela degli ecosistemi."
64;"Diagnosi carenze suolo con spettroscopia e ML";"Analisi Suolo";"Sviluppo di modelli che correlano firme spettrali campioni di terreno con parametri chimico-fisici, fornendo mappe di fertilità e consigli di concimazione mirata."
65;"Identificazione precoce fitopatologie con imaging AI";"Malattie Colture";"Utilizzo di reti neurali su immagini fogliari e frutti per riconoscere sintomi virali, fungini o batterici prima della diffusione, ottimizzando trattamenti fitosanitari."
66;"Monitoraggio benessere bovino con wearable e AI";"Monitoraggio Bestiame";"Implementazione di algoritmi su collari smart che analizzano attività, ruminazione e temperatura per rilevare stress, zoppie o calori, migliorando gestione mandrie."
67;"Ottimizzazione alimentazioni in acquacoltura con AI";"Acquacoltura";"Sviluppo di sistemi di computer vision e reinforcement learning che regolano erogazione mangime in base a comportamento branchi, qualità acqua e crescita, riducendo sprechi."
68;"Stima stock ittici con ecoscandaglio e ML";"Gestione Pesca";"Utilizzo di modelli predittivi su dati sonar e storico catture per prevedere biomassa disponibile, supportando quote sostenibili e contrastando pesca illegale."
69;"Ottimizzazione movimentazione container portuali con AI";"Operazioni Portuali";"Implementazione di algoritmi di scheduling e path planning per gru, carrelli e camion, minimizzando tempi di attracco e congestione in terminal intermodali."
70;"Rilevamento merci sospette con scanner e AI";"Controllo Doganale";"Sviluppo di sistemi di analisi immagini X-ray e gamma addestrati per identificare pattern di contrabbando, sostanze illecite o merci non dichiarate, accelerando sdoganamento."
71;"Individuazione frodi fiscali con anomaly detection";"Tasse e Frodi Fiscali";"Implementazione di modelli unsupervised e graph neural networks su dichiarazioni e transazioni per individuare schemi evasivi, fatture false e circuiti riciclaggio."
72;"Audit continuo conformità normativa con NLP";"Audit e Conformità";"Sviluppo di pipeline che scansionano documenti aziendali, email e registri per verificare adempimenti GDPR, antiriciclaggio e standard settoriali, segnalando gap in tempo reale."
73;"Valutazione rischio operativo con machine learning";"Gestione Rischi";"Implementazione di modelli predittivi che integrano dati incidenti, near-miss, fattori umani e ambientali per stimare probabilità eventi avversi e prioritizzare mitigazioni."
74;"Costruzione portafogli con ottimizzazione AI";"Portafogli Finanziari";"Utilizzo di algoritmi di asset allocation dinamica che adattano pesi in base a volatilità, correlazioni e scenari macroeconomici, massimizzando rendimento per livello di rischio."
75;"Esecuzione ordini con smart order routing AI";"Trading Algoritmico";"Sviluppo di sistemi che frammentano ordini, scelgono venue e timing ottimale basandosi su liquidità, spread e impatto di mercato, riducendo costi di transazione."
76;"Scoring credito P2P con modelli alternativi";"Scoring del Credito";"Implementazione di machine learning su dati comportamentali, utility payments e cronologie digitali per valutare affidabilità di soggetti thin-file o unbanked."
77;"Automazione underwriting assicurativo con AI";"Sottoscrizione Prestiti";"Sviluppo di pipeline che integrano dati anagrafici, finanziari e comportamentali per generare decisioni di approvazione/rifiuto e pricing personalizzato in tempo reale."
78;"Valutazione sinistri con computer vision";"Assicurazioni e Sottoscrizione";"Utilizzo di modelli di image segmentation per analizzare foto danni veicoli/immobili, stimare costi riparazione e accelerare liquidazione con minor frode."
79;"Predizione esiti trial clinici con dati real-world";"Ottimizzazione Trial Clinici";"Implementazione di modelli che fondono cartelle elettroniche, biomarcatori e letteratura per stimare probabilità successo fase II/III, ottimizzando arruolamento e siti."
80;"Raccomandazione terapeutica personalizzata con AI";"Medicina Personalizzata";"Sviluppo di sistemi di supporto decisionale che analizzano genoma, comorbidità e risposta storica a farmaci per suggerire regimi terapeutici ottimali per singolo paziente."
81;"Triage automatico telemedicina con NLP";"Telemedicina";"Implementazione di chatbot sanitari validati che raccolgono sintomi, classificano urgenza e indirizzano verso video-consulti, prescrizioni digitali o pronto soccorso."
82;"Rilevamento crisi emotive con analisi vocale AI";"Chatbot Salute Mentale";"Sviluppo di modelli di prosodia e sentiment analysis su chiamate o messaggi per identificare segnali di distress acuto, attivando protocolli di intervento umano."
83;"Navigazione autonoma robot assistenza anziani";"Robotica Assistenza Anziani";"Implementazione di sistemi di localizzazione, obstacle avoidance e riconoscimento comandi vocali per robot domestici che supportano mobilità, promemoria farmaci e compagnia."
84;"Adattamento protocolli riabilitazione con AI";"Riabilitazione";"Utilizzo di sensori indossabili e modelli di feedback per modificare intensità e tipologia esercizi in base a progressi, dolore e compliance, ottimizzando recupero funzionale."
85;"Controllo protesico mioelettrico con deep learning";"Controllo Protesi";"Sviluppo di reti neurali che decodificano segnali EMG residui per tradurre intenzioni motorie in movimenti articolari fluidi e naturali di arti artificiali."
86;"Correzione difetti refrattivi con wavefront AI";"Correzione Visione";"Implementazione di algoritmi che analizzano mappe aberrazioni oculari per personalizzare profili laser o lenti intraoculari, massimizzando acuità visiva post-operatoria."
87;"Adattamento amplificazione acustica con ML";"Apparecchi Acustici";"Sviluppo di sistemi embedded che classificano ambienti sonori in tempo reale e regolano guadagno, direzionalità e soppressione rumore per migliorare intelligibilità."
88;"Diagnosi carie e parodontite con imaging AI";"Diagnostica Dentale";"Utilizzo di reti convoluzionali su radiografie endorali e intraorali per identificare lesioni iniziali, calcoli sottogengivali e raccomandare trattamenti preventivi."
89;"Classificazione lesioni dermatologiche con computer vision";"Imaging Veterinario";"Implementazione di modelli addestrati su dataset veterinari per differenziare neoplasie, infezioni cutanee e allergie, supportando diagnosi rapide in ambulatorio."
90;"Monitoraggio attività animali domestici con wearable AI";"Monitoraggio Animali Domestici";"Sviluppo di algoritmi su collari smart per distinguere sonno, gioco, alimentazione e segni di malessere, inviando report proprietari e veterinari."
91;"Ottimizzazione consumi energetici domestici con AI";"Gestione Energia Domestica";"Implementazione di controller predittivi che imparano abitudini abitanti, previsioni meteo e tariffe elettriche per gestire climatizzazione, illuminazione e accumulatori."
92;"Riconoscimento intrusioni con telecamere intelligenti";"Sicurezza Domestica";"Sviluppo di sistemi di computer vision edge che distinguono persone, animali, veicoli e eventi normali da movimenti sospetti, riducendo falsi allarmi."
93;"Manutenzione predittiva elettrodomestici con AI";"Ottimizzazione Elettrodomestici";"Utilizzo di modelli su dati vibrazionali, termici e di consumo per prevedere guasti a compressori, pompe e motori, programmando assistenza prima del blocco."
94;"Irrigazione giardino adattiva con sensori e ML";"Giardinaggio Intelligente";"Implementazione di algoritmi che integrano umidità suolo, evapotraspirazione e previsioni pioggia per dosare acqua in modo preciso, evitando sprechi e stress vegetale."
95;"Controllo qualità acqua piscina con AI";"Manutenzione Piscina";"Sviluppo di sistemi che analizzano pH, cloro, alcalinità e torbidità in tempo reale, calcolando dosaggi ottimali di prodotti chimici e cicli di filtrazione."
96;"Rilevamento infestanti con trappole smart e AI";"Controllo Infestanti";"Utilizzo di computer vision su immagini trappole per identificare specie, conteggiare individui e mappare infestazioni, ottimizzando interventi mirati e riducendo pesticidi."
97;"Generazione report ESG automatizzati con NLP";"Sostenibilità Aziendale";"Implementazione di pipeline che estraggono dati da fatture, bollette, report operativi e li strutturano secondo standard GRI/SASB, accelerando disclosure non finanziaria."
98;"Simulazione diffusione epidemica con agent-based AI";"Sanità Pubblica";"Sviluppo di modelli multi-agente che replicano contatti sociali, mobilità e compliance misure per prevedere curve epidemiche e testare strategie di contenimento."
99;"Ottimizzazione dosaggio farmaci con farmacocinetica AI";"Farmacologia Clinica";"Implementazione di modelli che integrano peso, funzionalità epato-renale, interazioni e genotipo per calcolare regimi posologici personalizzati e minimizzare tossicità."
100;"Validazione bias algoritmi AI con framework etici";"Governance e Etica AI";"Sviluppo di toolkit di auditing che misurano disparità prestazioni tra gruppi demografici, generano report di fairness e suggeriscono mitigazioni tecniche prima del deploy in produzione."
