ID;Titolo;Settore;Descrizione
23;"Sistema di drenaggio urbano sostenibile";"Ingegneria Idraulica";"Progettazione di vasche di ritenzione, pavimentazioni drenanti e aiuole bioswale per ridurre il rischio allagamenti in un quartiere soggetto a piogge intense."
24;"Biblioteca itinerante per isole minori";"Servizi Culturali";"Allestimento di una barca attrezzata con scaffalature, postazioni lettura e connessione satellitare per portare servizi bibliotecari nelle isole senza biblioteca fissa."
25;"Impianto fotovoltaico per scuola rurale";"Energie Rinnovabili";"Installazione di pannelli fotovoltaici da 50 kWp su copertura scolastica con sistema di accumulo a batterie al piombo-gel, per garantire autonomia energetica in aree non metanizzate."
26;"Recupero mulino ad acqua storico";"Patrimonio Industriale";"Restauro conservativo di un mulino ad acqua del XVIII secolo con ripristino della macina in pietra e attivazione di visite didattiche sulla storia della lavorazione dei cereali."
27;"Pista di pattinaggio all'aperto stagionale";"Sport e Tempo Libero";"Realizzazione di una pista temporanea in materiale sintetico per pattinaggio a rotelle, con illuminazione a LED e spogliatoi prefabbricati, utilizzabile da aprile a ottobre."
28;"Centro di raccolta differenziata mobile";"Gestione Rifiuti";"Allestimento di un furgone attrezzato con compartimenti per vetro, plastica, carta e RAEE per la raccolta a domicilio in centri storici con accesso veicolare limitato."
29;"Orto botanico didattico per scuole";"Educazione Ambientale";"Progettazione e piantumazione di un giardino con specie vegetali autoctone organizzate per ecosistemi, con percorsi tattili, etichette in braille e schede didattiche per insegnanti."
30;"Ristrutturazione alloggi popolari";"Edilizia Sociale";"Intervento di efficientamento energetico e adeguamento normativo su 30 unità abitative di edilizia residenziale pubblica, con sostituzione infissi, coibentazione e installazione di contabilizzatori di calore."
31;"Impianto di depurazione a fitodepurazione";"Trattamento Acque";"Realizzazione di un sistema naturale di depurazione delle acque reflue di un piccolo borgo tramite vasche con cannuccia di palude, giunchi e salici, a bassissimo consumo energetico."
32;"Laboratorio di restauro libri antichi";"Conservazione Culturale";"Allestimento di uno spazio attrezzato con cappe aspiranti, presse e strumenti manuali per il restauro conservativo di volumi storici, aperto a professionisti e volontari formati."
33;"Rete di colonnine ricarica meccanica";"Mobilità Elettrica (Base)";"Installazione di 20 punti di ricarica per biciclette e monopattini elettrici alimentati da pannelli solari con sistema di accumulo diretto, senza gestione software avanzata."
34;"Centro polifunzionale per anziani";"Servizi Sociali";"Ristrutturazione di un edificio comunale per creare spazi per attività ricreative, fisioterapia leggera, mensa sociale e sportello informativo, con accessibilità totale e arredi ergonomici."
35;"Produzione di saponi artigianali locali";"Microimpresa";"Avvio di un piccolo laboratorio per la produzione di saponi con oli vegetali locali, essenze naturali e packaging in carta riciclata, con vendita diretta e canali locali."
36;"Manutenzione straordinaria rete idrica";"Infrastrutture Idriche";"Sostituzione di 8 km di tubazioni in amianto-cemento con tubi in PEAD, con riduzione delle perdite idriche e installazione di valvole di intercettazione manuali per settori."
37;"Giardino sensoriale per non vedenti";"Spazi Pubblici Inclusivi";"Progettazione di un'area verde con piante aromatiche, texture tattili, percorsi in materiali diversi e fontane sonore, con segnaletica in braille e mappe tattili."
38;"Laboratorio di sartoria circolare";"Moda Sostenibile";"Attivazione di uno spazio per riparazione, trasformazione e riuso di indumenti usati, con corsi di cucito base e scambio di tessuti, gestito da una cooperativa sociale."
39;"Sistema di allerta meteo analogico";"Protezione Civile";"Installazione di sirene alimentate a energia solare con attivazione manuale o tramite segnale radio dedicato, per allertare la popolazione in caso di maltempo improvviso in zone montane."
40;"Recupero terrazzamenti agricoli abbandonati";"Paesaggio Rurale";"Ripristino di muri a secco e sistemi di drenaggio tradizionali su 15 ettari di terrazzamenti collinari, con reimpianto di olivi e vigneti a bassa meccanizzazione."
41;"Centro di educazione alla mobilità sicura";"Sicurezza Stradale";"Allestimento di un'area attrezzata con percorsi in miniatura per biciclette e monopattini, segnali stradali didattici e simulatori meccanici per corsi rivolti a bambini e adolescenti."
42;"Impianto di essiccazione solare per erbe";"Trasformazione Agroalimentare";"Costruzione di una serra-essiccatoio con ventilazione naturale controllata manualmente per la conservazione di erbe aromatiche, fiori e piccoli frutti."
43;"Ristrutturazione teatro comunale storico";"Cultura e Spettacolo";"Restauro conservativo di un teatro dell'Ottocento con recupero di affreschi, sostituzione del sipario, adeguamento impianti elettrici e antincendio, mantenendo la capienza originale."
44;"Rete di fontanelle pubbliche con filtro";"Accesso all'Acqua";"Installazione di 30 fontanelle in ghisa con filtro a carbone attivo e meccanismo a leva manuale, collegate alla rete idrica comunale, con manutenzione programmata trimestrale."
45;"Laboratorio di liuteria tradizionale";"Artigianato di Eccellenza";"Avvio di un atelier per la costruzione e riparazione di strumenti a corda con tecniche manuali tradizionali, con corsi per apprendisti e collaborazione con scuole musicali."
46;"Pista cicloturistica fluviale";"Turismo Attivo";"Realizzazione di un percorso ciclabile di 60 km lungo un argine fluviale, con segnaletica turistica, aree sosta attrezzate e mappe cartacee distribuite negli uffici informazioni."
47;"Centro di raccolta semi autoctoni";"Conservazione Botanica";"Allestimento di un laboratorio per la raccolta, pulizia, conservazione e distribuzione di semi di specie vegetali locali, con catalogo cartaceo e scambi tra agricoltori."
48;"Impianto di riscaldamento a biomasse";"Energie Rinnovabili Termiche";"Installazione di una caldaia a cippato di legna locale per il teleriscaldamento di un piccolo borgo, con sistema di accumulo termico a serbatoio e distribuzione tramite tubazioni isolate."
49;"Laboratorio di ceramica per disabilità";"Arte Terapeutica";"Attivazione di uno spazio attrezzato con torni adattati, argille a bassa temperatura e smalti atossici per laboratori di ceramica rivolti a persone con disabilità motoria o cognitiva."
50;"Manutenzione verde pubblico con metodi biologici";"Gestione Ambientale Urbana";"Adozione di tecniche di pacciamatura, sovescio e insetti utili per la cura di aiuole e parchi comunali, eliminando l'uso di diserbanti chimici."
51;"Recupero antico frantoio oleario";"Patrimonio Enogastronomico";"Restauro funzionale di un frantoio a pietra con sistema di presse tradizionali, attivato per visite didattiche e produzione limitata di olio extravergine con olive locali."
52;"Centro di orientamento al lavoro territoriale";"Servizi per l'Impiego";"Allestimento di uno sportello con postazioni PC, materiale informativo cartaceo e sportelli per colloqui, gestito da operatori per supporto alla redazione CV e ricerca attiva."
53;"Sistema di illuminazione pubblica a LED";"Efficienza Energetica Urbana";"Sostituzione di 500 punti luce con corpi illuminanti a LED a temperatura calda, con regolazione manuale dell'accensione e spegnimento tramite timer meccanico."
54;"Laboratorio di panificazione con grani antichi";"Agroalimentare Artigianale";"Avvio di un piccolo forno a legna per la produzione di pane con farine macinate a pietra da grani antichi locali, con vendita diretta e filiera corta."
55;"Recupero di una miniera dismessa a fini didattici";"Geoturismo";"Messa in sicurezza e allestimento di un percorso visitabile in una ex miniera, con pannelli illustrativi sulla geologia locale e sulla storia dell'estrazione, con guide in presenza."
56;"Centro di pronto intervento veterinario rurale";"Servizi Veterinari";"Allestimento di un'unità mobile attrezzata con strumentazione chirurgica di base, farmaci essenziali e frigorifero per vaccini, per interventi in allevamenti isolati."
57;"Pista di atletica leggera in materiale riciclato";"Sport";"Realizzazione di una pista di corsa di 400 metri con manto in gomma riciclata da pneumatici fuori uso, con pedane per salti e lanci, illuminazione per serali e spogliatoi."
58;"Laboratorio di restauro mobili d'epoca";"Artigianato del Legno";"Attivazione di un atelier per il restauro conservativo di mobili antichi con tecniche tradizionali (verniciatura a tampone, intarsio, doratura), aperto a professionisti e apprendisti."
59;"Sistema di raccolta acqua piovana per scuole";"Gestione Idrica Sostenibile";"Installazione di cisterne interrate collegate alle grondaie di 10 edifici scolastici, con pompe manuali o a basso consumo per l'irrigazione dei giardini."
60;"Centro di documentazione sulla cultura locale";"Archivi e Memoria";"Allestimento di uno spazio con scaffalature, postazioni consultazione, scanner per digitalizzazione base e archivio cartaceo ordinato per tematiche, gestito da bibliotecari."
61;"Impianto di produzione biogas da reflui zootecnici";"Energie Rinnovabili da Biomasse";"Costruzione di un digestore anaerobico per la trasformazione di letame e scarti agricoli in biogas, con utilizzo per produzione di energia termica in azienda."
62;"Laboratorio di tessitura a telaio manuale";"Artigianato Tessile";"Recupero di telai tradizionali e attivazione di corsi per la produzione di tessuti con lane e fibre naturali locali, con creazione di una piccola collezione di design locale."
63;"Manutenzione straordinaria di un acquedotto storico";"Patrimonio Idraulico";"Restauro conservativo di condotte in terracotta e pietra di un acquedotto del XVII secolo, con sostituzione di tratti degradati e installazione di valvole di controllo manuali."
64;"Centro di educazione alimentare per scuole";"Salute Pubblica";"Allestimento di una cucina didattica attrezzata per laboratori pratici su stagionalità, lettura etichette e preparazione di pasti equilibrati, con materiale didattico cartaceo."
65;"Rete di rifugi escursionistici non custoditi";"Turismo Montano";"Recupero e manutenzione di 5 bivacchi in quota con dotazioni essenziali (brande, stufa a legna, kit primo soccorso), accessibili con chiave convenzionata per escursionisti."
66;"Laboratorio di lavorazione del ferro battuto";"Artigianato Metallurgico";"Attivazione di una fucina tradizionale con forgia a carbone, incudini e utensili manuali per corsi di base e produzione di complementi d'arredo e oggetti decorativi."
67;"Impianto di trattamento acque grigie per campeggi";"Gestione Idrica Turistica";"Realizzazione di un sistema di filtrazione meccanica e fitodepurazione per il riutilizzo delle acque grigie a fini irrigui in strutture ricettive all'aperto."
68;"Centro di supporto alla genitorialità";"Servizi alla Famiglia";"Allestimento di spazi per incontri di gruppo, consulenze individuali, angolo lettura per bambini e materiale informativo cartaceo, gestito da educatori e psicologi."
69;"Percorso vita con attrezzi in legno e corda";"Benessere all'Aperto";"Realizzazione di un itinerario naturalistico di 2 km con 15 stazioni per esercizi fisici, con attrezzi realizzati in legno trattato e corde naturali, manutenzione periodica manuale."
70;"Laboratorio di produzione carta artigianale";"Artigianato della Carta";"Attivazione di un piccolo impianto per la produzione di carta con stracci e fibre vegetali locali, con torchi manuali, essiccatoi naturali e corsi di legatoria base."
71;"Recupero di una cava dismessa a lago balneabile";"Riqualificazione Ambientale";"Messa in sicurezza, sistemazione spondale e creazione di aree attrezzate con servizi igienici e docce in una ex cava allagata, per uso ricreativo controllato."
72;"Centro di raccolta e riparazione elettrodomestici";"Economia Circolare";"Allestimento di un laboratorio con postazioni di lavoro, utensili e ricambi per la riparazione di piccoli elettrodomestici, con corsi di auto-riparazione per cittadini."
73;"Impianto di produzione di calce tradizionale";"Materiali da Costruzione Sostenibili";"Recupero di una fornace a legna per la produzione di calce aerea con tecniche storiche, destinata a restauri conservativi e bioedilizia."
74;"Laboratorio di profumeria con essenze locali";"Cosmesi Naturale";"Avvio di un piccolo atelier per la creazione di acque profumate, saponi e creme con oli essenziali estratti da piante aromatiche del territorio, con vendita diretta."
75;"Sistema di segnaletica turistica in legno e pietra";"Valorizzazione Territoriale";"Progettazione e posa di cartelli direzionali, pannelli illustrativi e mappe in materiali locali per un itinerario culturale, con manutenzione programmata."
76;"Centro di educazione alla legalità per giovani";"Cittadinanza Attiva";"Allestimento di aule per laboratori, dibattiti e proiezioni, con biblioteca tematica e materiale didattico cartaceo, gestito da educatori e forze dell'ordine in collaborazione."
77;"Impianto di produzione di miele urbano";"Apicoltura Sostenibile";"Installazione di arnie didattiche su tetti di edifici pubblici, con corsi di apicoltura base, smielatura manuale e confezionamento artigianale per vendita locale."
78;"Laboratorio di lavorazione del cuoio";"Pelletteria Artigianale";"Attivazione di uno spazio con macchine da cucire industriali, forme e utensili manuali per corsi di base e produzione di piccole borse, cinture e accessori."
79;"Recupero di un antico lavatoio pubblico";"Patrimonio Etnografico";"Restauro conservativo di un lavatoio in pietra con fontana e vasche, con ripristino del sistema di alimentazione idrica e creazione di un piccolo spazio espositivo sulla vita quotidiana storica."
80;"Centro di supporto psicologico di base";"Salute Mentale";"Allestimento di studi per colloqui individuali e di gruppo, con sala d'attesa accogliente e materiale informativo, gestito da psicologi iscritti all'albo con convenzioni pubbliche."
81;"Pista per skateboard in calcestruzzo drenante";"Sport Urbani";"Realizzazione di un'area attrezzata con rampe, curve e ostacoli in calcestruzzo fibrorinforzato, con illuminazione per serali e panchine per spettatori."
82;"Laboratorio di produzione di conserve tradizionali";"Trasformazione Alimentare";"Allestimento di una cucina professionale a norma per la produzione artigianale di passate, sottoli e confetture con ricette locali, con etichettatura manuale."
83;"Impianto di produzione di energia mini-idroelettrica";"Rinnovabili Idriche";"Installazione di una turbina ad acqua in un canale di irrigazione esistente, con sistema di regolazione manuale della portata e connessione alla rete locale."
84;"Centro di documentazione sulla fauna locale";"Educazione Naturalistica";"Allestimento di una sala con diorami, schede illustrative cartacee, reperti naturali e postazioni consultazione, gestita da guide ambientali escursionistiche."
85;"Laboratorio di restauro di strumenti musicali popolari";"Patrimonio Sonoro";"Attivazione di uno spazio attrezzato per il restauro di fisarmoniche, organetti e tamburelli con tecniche tradizionali, con corsi per appassionati."
86;"Sistema di raccolta differenziata porta a porta con carrelli";"Gestione Rifiuti Urbani";"Distribuzione di carrelli dotati di scomparti per frazioni merceologiche e calendario cartaceo di raccolta, con ritiro settimanale da parte di operatori."
87;"Recupero di una stazione ferroviaria dismessa";"Riqualificazione Urbana";"Ristrutturazione conservativa di un edificio storico ferroviario per creare un centro per associazioni, con sala riunioni, uffici e piccolo bar gestito da cooperative."
88;"Laboratorio di produzione di candele artigianali";"Artigianato della Luce";"Avvio di un piccolo atelier per la creazione di candele con cere naturali, stoppini in cotone e essenze, con stampi in silicone e tecniche di colata manuale."
89;"Impianto di trattamento per fanghi di depurazione";"Gestione Rifiuti Speciali";"Realizzazione di un'area per l'essiccazione naturale e il compostaggio controllato di fanghi provenienti da depuratori civili, con monitoraggio parametri chimici manuali."
90;"Centro di educazione stradale per ciclomotoristi";"Sicurezza e Formazione";"Allestimento di un percorso chiuso con segnaletica, ostacoli e simulatori meccanici di guida, per corsi pratici rivolti a giovani neopatentati."
91;"Laboratorio di lavorazione del vetro a caldo";"Artigianato del Vetro";"Attivazione di una fornace tradizionale per la produzione di oggetti soffiati e lavorati a mano, con corsi base e collaborazioni con designer locali."
92;"Recupero di un antico forno per il pane comunitario";"Patrimonio Immateriale";"Restauro funzionale di un forno a legna in pietra per la panificazione collettiva, con calendario turni e gestione condivisa da parte dei residenti."
93;"Impianto di produzione di energia eolica di piccola taglia";"Rinnovabili Eoliche";"Installazione di 3 aerogeneratori da 20 kW in area collinare ventosa, con sistema di regolazione meccanica della pala e accumulo a batterie."
94;"Centro di supporto per vittime di violenza";"Servizi Sociali Specializzati";"Allestimento di spazi protetti per accoglienza, consulenze legali e psicologiche, con sala per minori e materiale informativo multilingue, gestito da operatori formati."
95;"Laboratorio di produzione di inchiostri naturali";"Artigianato Artistico";"Avvio di un piccolo atelier per la creazione di inchiostri con pigmenti vegetali, minerali e leganti naturali, per artisti, calligrafi e restauratori."
96;"Sistema di irrigazione a scorrimento tradizionale";"Agricoltura Tradizionale";"Recupero e manutenzione di canali in terra battuta e paratoie manuali per l'irrigazione per scorrimento di orti e frutteti, con turnazione concordata tra agricoltori."
97;"Recupero di una torre di avvistamento costiera";"Patrimonio Storico-Militare";"Restauro conservativo di una torre del XVI secolo con consolidamento murario, installazione di scale e passerelle in legno per visite guidate con prenotazione."
98;"Laboratorio di produzione di cosmetici solidi";"Cosmesi Sostenibile";"Allestimento di uno spazio a norma per la creazione di shampoo, balsami e detergenti solidi con ingredienti naturali, con stampi in silicone e confezionamento manuale."
99;"Impianto di produzione di energia da biomasse legnose";"Rinnovabili Termiche";"Installazione di una caldaia a cippato per il teleriscaldamento di un piccolo centro, con sistema di accumulo termico e distribuzione tramite tubazioni coibentate."
100;"Centro di documentazione sulle tecniche costruttive tradizionali";"Edilizia Storica";"Allestimento di una sala con campioni di materiali, schede tecniche cartacee, strumenti antichi e postazioni consultazione per professionisti del restauro."
101;"Laboratorio di produzione di marmellate con frutta di recupero";"Lotta allo Spreco Alimentare";"Avvio di una piccola unità di trasformazione per la produzione di confetture con frutta non commerciale, con ricette tradizionali e vendita a km0."
102;"Sistema di raccolta nebbia per aree aride";"Tecnologie Appropriate";"Installazione di reti in polipropilene su strutture in legno per la condensazione della nebbia e raccolta dell'acqua in cisterne, per usi agricoli limitati in zone montane secche."
103;"Recupero di un antico mulino a vento";"Patrimonio Industriale Rurale";"Restauro conservativo delle pale e del meccanismo di macinazione di un mulino a vento del XIX secolo, con attivazione di visite didattiche sulla storia dell'energia eolica tradizionale."
104;"Laboratorio di produzione di salse e condimenti artigianali";"Agroalimentare di Qualità";"Allestimento di una cucina professionale per la creazione di pesti, agrodolci e salse con ingredienti locali, con confezionamento in vetro e etichettatura manuale."
105;"Centro di educazione al risparmio idrico domestico";"Sensibilizzazione Ambientale";"Allestimento di una sala dimostrativa con modelli di rubinetterie, sistemi di recupero acqua e materiali informativi cartacei per corsi pratici per famiglie."
