Description,Label
"Utilizzo di sensori vibrazionali e modelli time-series per prevedere usura freni, cricche rotaie e guasti pantografi, pianificando interventi in finestre di manutenzione notturna.",ai
"Sviluppo di sistemi di visione e reinforcement learning per navigare in ambienti complessi (torri, ponti, linee elettriche), catturando dati strutturati senza intervento pilota.",ai
"Utilizzo di algoritmi di placement e routing guidati da deep learning per ridurre lunghezze interconnessioni, migliorare dissipazione termica e accelerare tempi di progettazione ASIC.",ai
"Implementazione di modelli di gesture recognition e NLP per convertire movimenti mani, espressioni facciali e postura in testo parlato e viceversa, facilitando comunicazione inclusiva.",ai
"Sviluppo di sistemi speech-to-speech a bassa latenza con adattamento contestuale e dominio-specifico, supportando interpreti professionisti in sessioni multilingue.",ai
"Addestramento di modelli che fondono dati radar, satellitari e stazioni a terra per prevedere evoluzione di celle temporalesche nei prossimi 2-6 ore con alta risoluzione.",ai
"Utilizzo di algoritmi di classificazione segnale sonar per distinguere tipologia di fondale, rilevare relitti o habitat corallini e generare mappe batimetriche automatizzate.",ai
"Sviluppo di modelli di riconoscimento caratteri adattivi per manoscritti danneggiati, frammenti epigrafici e testi palinsesti, integrando knowledge graph storici per suggerimenti contestuali.",ai
"Implementazione di AI condizionale che produce planimetrie ottimizzate per luce naturale, flussi pedonali e normativa edilizia, supportando progettisti in fase preliminare.",ai
"Sviluppo di motori di matching basati su embedding di immagini e preferenze utente per suggerire combinazioni di mobili, tessuti e illuminazione coerenti con lo stile desiderato.",ai
"Implementazione di NLP fine-tuned su lessico moda per estrarre giudizi su vestibilità, qualità e stile, aggregando insight per correggere produzioni future.",ai
"Utilizzo di reti neurali per prevedere stabilità emulsioni, compatibilità ingredienti e profilo sensoriale, accelerando sviluppo di nuovi prodotti sicuri ed efficaci.",ai
"Sviluppo di modelli che mappano strutture chimiche a descrittori olfattivi, generando combinazioni innovative bilanciate per piramide nota e persistenza sulla pelle.",ai
"Implementazione di algoritmi che analizzano dati di vigneto, fermentazione e affinamento per prevedere profilo sensoriale finale e suggerire correzioni in cantina.",ai
"Sviluppo di sistemi di controllo adattivo che regolano temperatura, flusso d'aria e tempo in base a curve di sviluppo aromatico, garantendo consistenza tra lotti.",ai
"Utilizzo di microfoni e modelli di classificazione audio per rilevare sciamatura, presenza di varroa o stress termico, inviando alert agli apicoltori prima di perdite critiche.",ai
"Implementazione di pipeline di computer vision su immagini SAR e ottiche per identificare tagli non autorizzati, cambiamenti copertura vegetale e allertare autorità competenti.",ai
"Utilizzo di algoritmi di interpolazione e deep learning su dati di carotaggio e geofisica per mappare giacimenti, ridurre sprechi e pianificare scavi in sicurezza.",ai
"Sviluppo di sistemi di riconoscimento automatico su nastri di selezione per distinguere polimeri, metalli e composite, migliorando purezza frazioni riciclate.",ai
"Implementazione di modelli time-series che analizzano pH, torbidità, cloro residuo e parametri microbiologici per ottimizzare dosaggi e garantire conformità normativa.",ai
"Utilizzo di reti di microfoni low-cost e algoritmi di source separation per classificare sorgenti sonore (traffico, cantieri, svago) e generare mappe di esposizione.",ai
"Sviluppo di modelli multi-agente che replicano comportamenti cittadini in spazi pubblici, testando layout, illuminazione e arredo urbano per massimizzare sicurezza e comfort.",ai
"Implementazione di reti neurali convoluzionali su immagini ad alta risoluzione per mappare aree agricole, urbane, boschive e umide, supportando piani di zonizzazione.",ai
"Integrazione di dati pluviometrici, livelli fiumi e modelli di runoff addestrati con machine learning per prevedere esondazioni con anticipo sufficiente per evacuazioni mirate.",ai
"Sviluppo di algoritmi che assegnano dinamicamente ambulanze, vigili del fuoco e mezzi di soccorso in base a gravità, distanza e disponibilità, minimizzando tempi di intervento.",ai
"Implementazione di computer vision su feed infrarossi per identificare firme termiche umane in macerie, boschi o acque, guidando squadre di salvataggio con coordinate precise.",ai
"Utilizzo di registratori passivi e modelli di classificazione specie per stimare presenza, attività e stress di fauna selvatica senza intervento umano diretto.",ai
"Sviluppo di modelli che integrano dati GPS, telemetria e variabili ambientali per prevedere rotte migratorie, identificare corridoi ecologici e mitigare conflitti uomo-fauna.",ai
"Implementazione di sistemi di rilevamento insetti in volo e su fiori per monitorare densità api, bombi e farfalle, supportando politiche di tutela degli ecosistemi.",ai
"Sviluppo di modelli che correlano firme spettrali campioni di terreno con parametri chimico-fisici, fornendo mappe di fertilità e consigli di concimazione mirata.",ai
"Utilizzo di reti neurali su immagini fogliari e frutti per riconoscere sintomi virali, fungini o batterici prima della diffusione, ottimizzando trattamenti fitosanitari.",ai
"Implementazione di algoritmi su collari smart che analizzano attività, ruminazione e temperatura per rilevare stress, zoppie o calori, migliorando gestione mandrie.",ai
"Sviluppo di sistemi di computer vision e reinforcement learning che regolano erogazione mangime in base a comportamento branchi, qualità acqua e crescita, riducendo sprechi.",ai
"Utilizzo di modelli predittivi su dati sonar e storico catture per prevedere biomassa disponibile, supportando quote sostenibili e contrastando pesca illegale.",ai
"Implementazione di algoritmi di scheduling e path planning per gru, carrelli e camion, minimizzando tempi di attracco e congestione in terminal intermodali.",ai
"Sviluppo di sistemi di analisi immagini X-ray e gamma addestrati per identificare pattern di contrabbando, sostanze illecite o merci non dichiarate, accelerando sdoganamento.",ai
"Implementazione di modelli unsupervised e graph neural networks su dichiarazioni e transazioni per individuare schemi evasivi, fatture false e circuiti riciclaggio.",ai
"Sviluppo di pipeline che scansionano documenti aziendali, email e registri per verificare adempimenti GDPR, antiriciclaggio e standard settoriali, segnalando gap in tempo reale.",ai
"Implementazione di modelli predittivi che integrano dati incidenti, near-miss, fattori umani e ambientali per stimare probabilità eventi avversi e prioritizzare mitigazioni.",ai
"Utilizzo di algoritmi di asset allocation dinamica che adattano pesi in base a volatilità, correlazioni e scenari macroeconomici, massimizzando rendimento per livello di rischio.",ai
"Sviluppo di sistemi che frammentano ordini, scelgono venue e timing ottimale basandosi su liquidità, spread e impatto di mercato, riducendo costi di transazione.",ai
"Implementazione di machine learning su dati comportamentali, utility payments e cronologie digitali per valutare affidabilità di soggetti thin-file o unbanked.",ai
"Sviluppo di pipeline che integrano dati anagrafici, finanziari e comportamentali per generare decisioni di approvazione/rifiuto e pricing personalizzato in tempo reale.",ai
"Utilizzo di modelli di image segmentation per analizzare foto danni veicoli/immobili, stimare costi riparazione e accelerare liquidazione con minor frode.",ai
"Implementazione di modelli che fondono cartelle elettroniche, biomarcatori e letteratura per stimare probabilità successo fase II/III, ottimizzando arruolamento e siti.",ai
"Sviluppo di sistemi di supporto decisionale che analizzano genoma, comorbidità e risposta storica a farmaci per suggerire regimi terapeutici ottimali per singolo paziente.",ai
"Implementazione di chatbot sanitari validati che raccolgono sintomi, classificano urgenza e indirizzano verso video-consulti, prescrizioni digitali o pronto soccorso.",ai
"Sviluppo di modelli di prosodia e sentiment analysis su chiamate o messaggi per identificare segnali di distress acuto, attivando protocolli di intervento umano.",ai
"Implementazione di sistemi di localizzazione, obstacle avoidance e riconoscimento comandi vocali per robot domestici che supportano mobilità, promemoria farmaci e compagnia.",ai
"Utilizzo di sensori indossabili e modelli di feedback per modificare intensità e tipologia esercizi in base a progressi, dolore e compliance, ottimizzando recupero funzionale.",ai
Sviluppo di reti neurali che decodificano segnali EMG residui per tradurre intenzioni motorie in movimenti articolari fluidi e naturali di arti artificiali.,ai
"Implementazione di algoritmi che analizzano mappe aberrazioni oculari per personalizzare profili laser o lenti intraoculari, massimizzando acuità visiva post-operatoria.",ai
"Sviluppo di sistemi embedded che classificano ambienti sonori in tempo reale e regolano guadagno, direzionalità e soppressione rumore per migliorare intelligibilità.",ai
"Utilizzo di reti convoluzionali su radiografie endorali e intraorali per identificare lesioni iniziali, calcoli sottogengivali e raccomandare trattamenti preventivi.",ai
"Implementazione di modelli addestrati su dataset veterinari per differenziare neoplasie, infezioni cutanee e allergie, supportando diagnosi rapide in ambulatorio.",ai
"Sviluppo di algoritmi su collari smart per distinguere sonno, gioco, alimentazione e segni di malessere, inviando report proprietari e veterinari.",ai
"Implementazione di controller predittivi che imparano abitudini abitanti, previsioni meteo e tariffe elettriche per gestire climatizzazione, illuminazione e accumulatori.",ai
"Sviluppo di sistemi di computer vision edge che distinguono persone, animali, veicoli e eventi normali da movimenti sospetti, riducendo falsi allarmi.",ai
"Utilizzo di modelli su dati vibrazionali, termici e di consumo per prevedere guasti a compressori, pompe e motori, programmando assistenza prima del blocco.",ai
"Implementazione di algoritmi che integrano umidità suolo, evapotraspirazione e previsioni pioggia per dosare acqua in modo preciso, evitando sprechi e stress vegetale.",ai
"Sviluppo di sistemi che analizzano pH, cloro, alcalinità e torbidità in tempo reale, calcolando dosaggi ottimali di prodotti chimici e cicli di filtrazione.",ai
"Utilizzo di computer vision su immagini trappole per identificare specie, conteggiare individui e mappare infestazioni, ottimizzando interventi mirati e riducendo pesticidi.",ai
"Implementazione di pipeline che estraggono dati da fatture, bollette, report operativi e li strutturano secondo standard GRI/SASB, accelerando disclosure non finanziaria.",ai
"Sviluppo di modelli multi-agente che replicano contatti sociali, mobilità e compliance misure per prevedere curve epidemiche e testare strategie di contenimento.",ai
"Implementazione di modelli che integrano peso, funzionalità epato-renale, interazioni e genotipo per calcolare regimi posologici personalizzati e minimizzare tossicità.",ai
"Sviluppo di toolkit di auditing che misurano disparità prestazioni tra gruppi demografici, generano report di fairness e suggeriscono mitigazioni tecniche prima del deploy in produzione.",ai
"Recupero strutturale e funzionale di un ex stabilimento industriale da riconvertire in centro culturale, con auditorium, laboratori artistici e spazi per coworking.",non_ai
"Progettazione e installazione di un sistema di irrigazione a goccia alimentato da pannelli fotovoltaici, ottimizzato per piccoli appezzamenti vitivinicoli in zone collinari.",non_ai
"Sviluppo di un dispositivo meccanico-elettronico a basso costo per la misurazione autonoma della pressione arteriosa, destinato all'uso in ambulatori di zone rurali.",non_ai
"Realizzazione di un percorso ciclopedonale sopraelevato in acciaio e legno lamellare, progettato per connettere tre quartieri periferici al centro storico e ridurre la congestione veicolare.",non_ai
"Allestimento di un veicolo attrezzato con strumentazione base di fisica, chimica e biologia per effettuare esperimenti pratici nelle scuole secondarie di aree montane isolate.",non_ai
Installazione di sonde geotermiche a bassa entalpia e pompe di calore per la climatizzazione invernale ed estiva di un complesso universitario di 150 unità abitative.,non_ai
"Riattivazione di un laboratorio per la produzione di ceramiche artistiche con metodi manuali e forni a legna, integrato con corsi di formazione per giovani artigiani.",non_ai
"Sviluppo di un'applicazione web open source per la gestione condivisa di orti urbani, con funzionalità di mappatura, prenotazione turni e calendario delle coltivazioni basato su database relazionale.",non_ai
"Programma di accompagnamento, mentoring tecnico e erogazione di microfinanziamenti per l'avvio di attività commerciali in comuni con tasso di spopolamento superiore al 15%.",non_ai
"Progettazione e posa di moduli in calcestruzzo poroso a forma di alveare, finalizzati alla mitigazione dell'erosione marina e alla creazione di habitat per la biodiversità ittica.",non_ai
"Costruzione di una struttura cupola con sistema di rotazione meccanico e installazione di due telescopi rifrattori da 150mm, attrezzata per corsi pratici di astronomia per scuole e associazioni.",non_ai
"Organizzazione di una rete di produttori biologici, punti di distribuzione locali e logistica refrigerata per garantire la consegna di prodotti freschi entro 24 ore dalla lavorazione.",non_ai
"Intervento di consolidamento strutturale su cinque ponti in muratura lungo una viabilità provinciale, con iniezioni di resine epossidiche, tiranti in acciaio e monitoraggio vibrazionale continuo.",non_ai
"Catalogazione, pulizia e restauro conservativo di 12.000 lastre e stampe fotografiche d'epoca, con successiva digitalizzazione ad alta risoluzione e creazione di un database consultabile tramite interfaccia web.",non_ai
Sostituzione dei cassonetti stradali con contenitori dotati di sensori ultrasonici di riempimento e ottimizzazione dei percorsi dei mezzi di raccolta tramite software di pianificazione logistica a regole fisse.,non_ai
"Costruzione di serre modulari per coltivazione idroponica in contesti urbani densi, con sistema di ricircolo acqua e gestione manuale dei nutrienti, gestite da cooperative di quartiere.",non_ai
"Progettazione e realizzazione di un ponte pedonale in legno lamellare trattato, con fondazioni a plinti isolati, per collegare due sponde fluviali in area naturalistica protetta.",non_ai
"Allestimento di una struttura prefabbricata antisismica dotata di attrezzature mediche di base, generatore di emergenza e radio VHF per interventi in zone alpine isolate.",non_ai
"Censimento, propagazione e reimpianto di cultivar locali di meli, peri e ciliegi a rischio estinzione, con creazione di un vivaio conservativo e schede tecniche per agricoltori.",non_ai
"Realizzazione di un'area attrezzata per il compostaggio aerobico di scarti vegetali domestici e di giardinaggio, con formazione per cittadini e distribuzione gratuita del compost prodotto.",non_ai
"Segnalatura, manutenzione e valorizzazione di un percorso escursionistico di 45 km con pannelli illustrativi sulla storia locale, punti di sosta e mappe cartacee distribuite negli uffici turistici.",non_ai
"Attivazione di un laboratorio attrezzato per corsi di falegnameria di base rivolti a persone in situazione di fragilità sociale, con produzione di arredi per spazi pubblici.",non_ai
"Progettazione di vasche di ritenzione, pavimentazioni drenanti e aiuole bioswale per ridurre il rischio allagamenti in un quartiere soggetto a piogge intense.",non_ai
"Allestimento di una barca attrezzata con scaffalature, postazioni lettura e connessione satellitare per portare servizi bibliotecari nelle isole senza biblioteca fissa.",non_ai
"Installazione di pannelli fotovoltaici da 50 kWp su copertura scolastica con sistema di accumulo a batterie al piombo-gel, per garantire autonomia energetica in aree non metanizzate.",non_ai
Restauro conservativo di un mulino ad acqua del XVIII secolo con ripristino della macina in pietra e attivazione di visite didattiche sulla storia della lavorazione dei cereali.,non_ai
"Realizzazione di una pista temporanea in materiale sintetico per pattinaggio a rotelle, con illuminazione a LED e spogliatoi prefabbricati, utilizzabile da aprile a ottobre.",non_ai
"Allestimento di un furgone attrezzato con compartimenti per vetro, plastica, carta e RAEE per la raccolta a domicilio in centri storici con accesso veicolare limitato.",non_ai
"Progettazione e piantumazione di un giardino con specie vegetali autoctone organizzate per ecosistemi, con percorsi tattili, etichette in braille e schede didattiche per insegnanti.",non_ai
"Intervento di efficientamento energetico e adeguamento normativo su 30 unità abitative di edilizia residenziale pubblica, con sostituzione infissi, coibentazione e installazione di contabilizzatori di calore.",non_ai
"Realizzazione di un sistema naturale di depurazione delle acque reflue di un piccolo borgo tramite vasche con cannuccia di palude, giunchi e salici, a bassissimo consumo energetico.",non_ai
"Allestimento di uno spazio attrezzato con cappe aspiranti, presse e strumenti manuali per il restauro conservativo di volumi storici, aperto a professionisti e volontari formati.",non_ai
"Installazione di 20 punti di ricarica per biciclette e monopattini elettrici alimentati da pannelli solari con sistema di accumulo diretto, senza gestione software avanzata.",non_ai
"Ristrutturazione di un edificio comunale per creare spazi per attività ricreative, fisioterapia leggera, mensa sociale e sportello informativo, con accessibilità totale e arredi ergonomici.",non_ai
"Avvio di un piccolo laboratorio per la produzione di saponi con oli vegetali locali, essenze naturali e packaging in carta riciclata, con vendita diretta e canali locali.",non_ai
"Sostituzione di 8 km di tubazioni in amianto-cemento con tubi in PEAD, con riduzione delle perdite idriche e installazione di valvole di intercettazione manuali per settori.",non_ai
"Progettazione di un'area verde con piante aromatiche, texture tattili, percorsi in materiali diversi e fontane sonore, con segnaletica in braille e mappe tattili.",non_ai
"Attivazione di uno spazio per riparazione, trasformazione e riuso di indumenti usati, con corsi di cucito base e scambio di tessuti, gestito da una cooperativa sociale.",non_ai
"Installazione di sirene alimentate a energia solare con attivazione manuale o tramite segnale radio dedicato, per allertare la popolazione in caso di maltempo improvviso in zone montane.",non_ai
"Ripristino di muri a secco e sistemi di drenaggio tradizionali su 15 ettari di terrazzamenti collinari, con reimpianto di olivi e vigneti a bassa meccanizzazione.",non_ai
"Allestimento di un'area attrezzata con percorsi in miniatura per biciclette e monopattini, segnali stradali didattici e simulatori meccanici per corsi rivolti a bambini e adolescenti.",non_ai
"Costruzione di una serra-essiccatoio con ventilazione naturale controllata manualmente per la conservazione di erbe aromatiche, fiori e piccoli frutti.",non_ai
"Restauro conservativo di un teatro dell'Ottocento con recupero di affreschi, sostituzione del sipario, adeguamento impianti elettrici e antincendio, mantenendo la capienza originale.",non_ai
"Installazione di 30 fontanelle in ghisa con filtro a carbone attivo e meccanismo a leva manuale, collegate alla rete idrica comunale, con manutenzione programmata trimestrale.",non_ai
"Avvio di un atelier per la costruzione e riparazione di strumenti a corda con tecniche manuali tradizionali, con corsi per apprendisti e collaborazione con scuole musicali.",non_ai
"Realizzazione di un percorso ciclabile di 60 km lungo un argine fluviale, con segnaletica turistica, aree sosta attrezzate e mappe cartacee distribuite negli uffici informazioni.",non_ai
"Allestimento di un laboratorio per la raccolta, pulizia, conservazione e distribuzione di semi di specie vegetali locali, con catalogo cartaceo e scambi tra agricoltori.",non_ai
"Installazione di una caldaia a cippato di legna locale per il teleriscaldamento di un piccolo borgo, con sistema di accumulo termico a serbatoio e distribuzione tramite tubazioni isolate.",non_ai
"Attivazione di uno spazio attrezzato con torni adattati, argille a bassa temperatura e smalti atossici per laboratori di ceramica rivolti a persone con disabilità motoria o cognitiva.",non_ai
"Adozione di tecniche di pacciamatura, sovescio e insetti utili per la cura di aiuole e parchi comunali, eliminando l'uso di diserbanti chimici.",non_ai
"Restauro funzionale di un frantoio a pietra con sistema di presse tradizionali, attivato per visite didattiche e produzione limitata di olio extravergine con olive locali.",non_ai
"Allestimento di uno sportello con postazioni PC, materiale informativo cartaceo e sportelli per colloqui, gestito da operatori per supporto alla redazione CV e ricerca attiva.",non_ai
"Sostituzione di 500 punti luce con corpi illuminanti a LED a temperatura calda, con regolazione manuale dell'accensione e spegnimento tramite timer meccanico.",non_ai
"Avvio di un piccolo forno a legna per la produzione di pane con farine macinate a pietra da grani antichi locali, con vendita diretta e filiera corta.",non_ai
"Messa in sicurezza e allestimento di un percorso visitabile in una ex miniera, con pannelli illustrativi sulla geologia locale e sulla storia dell'estrazione, con guide in presenza.",non_ai
"Allestimento di un'unità mobile attrezzata con strumentazione chirurgica di base, farmaci essenziali e frigorifero per vaccini, per interventi in allevamenti isolati.",non_ai
"Realizzazione di una pista di corsa di 400 metri con manto in gomma riciclata da pneumatici fuori uso, con pedane per salti e lanci, illuminazione per serali e spogliatoi.",non_ai
"Attivazione di un atelier per il restauro conservativo di mobili antichi con tecniche tradizionali (verniciatura a tampone, intarsio, doratura), aperto a professionisti e apprendisti.",non_ai
"Installazione di cisterne interrate collegate alle grondaie di 10 edifici scolastici, con pompe manuali o a basso consumo per l'irrigazione dei giardini.",non_ai
"Allestimento di uno spazio con scaffalature, postazioni consultazione, scanner per digitalizzazione base e archivio cartaceo ordinato per tematiche, gestito da bibliotecari.",non_ai
"Costruzione di un digestore anaerobico per la trasformazione di letame e scarti agricoli in biogas, con utilizzo per produzione di energia termica in azienda.",non_ai
"Recupero di telai tradizionali e attivazione di corsi per la produzione di tessuti con lane e fibre naturali locali, con creazione di una piccola collezione di design locale.",non_ai
"Restauro conservativo di condotte in terracotta e pietra di un acquedotto del XVII secolo, con sostituzione di tratti degradati e installazione di valvole di controllo manuali.",non_ai
"Allestimento di una cucina didattica attrezzata per laboratori pratici su stagionalità, lettura etichette e preparazione di pasti equilibrati, con materiale didattico cartaceo.",non_ai
"Recupero e manutenzione di 5 bivacchi in quota con dotazioni essenziali (brande, stufa a legna, kit primo soccorso), accessibili con chiave convenzionata per escursionisti.",non_ai
"Attivazione di una fucina tradizionale con forgia a carbone, incudini e utensili manuali per corsi di base e produzione di complementi d'arredo e oggetti decorativi.",non_ai
Realizzazione di un sistema di filtrazione meccanica e fitodepurazione per il riutilizzo delle acque grigie a fini irrigui in strutture ricettive all'aperto.,non_ai
"Allestimento di spazi per incontri di gruppo, consulenze individuali, angolo lettura per bambini e materiale informativo cartaceo, gestito da educatori e psicologi.",non_ai
"Realizzazione di un itinerario naturalistico di 2 km con 15 stazioni per esercizi fisici, con attrezzi realizzati in legno trattato e corde naturali, manutenzione periodica manuale.",non_ai
"Attivazione di un piccolo impianto per la produzione di carta con stracci e fibre vegetali locali, con torchi manuali, essiccatoi naturali e corsi di legatoria base.",non_ai
"Messa in sicurezza, sistemazione spondale e creazione di aree attrezzate con servizi igienici e docce in una ex cava allagata, per uso ricreativo controllato.",non_ai
"Allestimento di un laboratorio con postazioni di lavoro, utensili e ricambi per la riparazione di piccoli elettrodomestici, con corsi di auto-riparazione per cittadini.",non_ai
"Recupero di una fornace a legna per la produzione di calce aerea con tecniche storiche, destinata a restauri conservativi e bioedilizia.",non_ai
"Avvio di un piccolo atelier per la creazione di acque profumate, saponi e creme con oli essenziali estratti da piante aromatiche del territorio, con vendita diretta.",non_ai
"Progettazione e posa di cartelli direzionali, pannelli illustrativi e mappe in materiali locali per un itinerario culturale, con manutenzione programmata.",non_ai
"Allestimento di aule per laboratori, dibattiti e proiezioni, con biblioteca tematica e materiale didattico cartaceo, gestito da educatori e forze dell'ordine in collaborazione.",non_ai
"Installazione di arnie didattiche su tetti di edifici pubblici, con corsi di apicoltura base, smielatura manuale e confezionamento artigianale per vendita locale.",non_ai
"Attivazione di uno spazio con macchine da cucire industriali, forme e utensili manuali per corsi di base e produzione di piccole borse, cinture e accessori.",non_ai
"Restauro conservativo di un lavatoio in pietra con fontana e vasche, con ripristino del sistema di alimentazione idrica e creazione di un piccolo spazio espositivo sulla vita quotidiana storica.",non_ai
"Allestimento di studi per colloqui individuali e di gruppo, con sala d'attesa accogliente e materiale informativo, gestito da psicologi iscritti all'albo con convenzioni pubbliche.",non_ai
"Realizzazione di un'area attrezzata con rampe, curve e ostacoli in calcestruzzo fibrorinforzato, con illuminazione per serali e panchine per spettatori.",non_ai
"Allestimento di una cucina professionale a norma per la produzione artigianale di passate, sottoli e confetture con ricette locali, con etichettatura manuale.",non_ai
"Installazione di una turbina ad acqua in un canale di irrigazione esistente, con sistema di regolazione manuale della portata e connessione alla rete locale.",non_ai
"Allestimento di una sala con diorami, schede illustrative cartacee, reperti naturali e postazioni consultazione, gestita da guide ambientali escursionistiche.",non_ai
"Attivazione di uno spazio attrezzato per il restauro di fisarmoniche, organetti e tamburelli con tecniche tradizionali, con corsi per appassionati.",non_ai
"Distribuzione di carrelli dotati di scomparti per frazioni merceologiche e calendario cartaceo di raccolta, con ritiro settimanale da parte di operatori.",non_ai
"Ristrutturazione conservativa di un edificio storico ferroviario per creare un centro per associazioni, con sala riunioni, uffici e piccolo bar gestito da cooperative.",non_ai
"Avvio di un piccolo atelier per la creazione di candele con cere naturali, stoppini in cotone e essenze, con stampi in silicone e tecniche di colata manuale.",non_ai
"Realizzazione di un'area per l'essiccazione naturale e il compostaggio controllato di fanghi provenienti da depuratori civili, con monitoraggio parametri chimici manuali.",non_ai
"Allestimento di un percorso chiuso con segnaletica, ostacoli e simulatori meccanici di guida, per corsi pratici rivolti a giovani neopatentati.",non_ai
"Attivazione di una fornace tradizionale per la produzione di oggetti soffiati e lavorati a mano, con corsi base e collaborazioni con designer locali.",non_ai
"Restauro funzionale di un forno a legna in pietra per la panificazione collettiva, con calendario turni e gestione condivisa da parte dei residenti.",non_ai
"Installazione di 3 aerogeneratori da 20 kW in area collinare ventosa, con sistema di regolazione meccanica della pala e accumulo a batterie.",non_ai
