text,label
Technology leveraging AI and machine learning for aI predicting crime hotspots and individual crime likelihood for policing decisions,law_enforcement
A biometrics AI tool capable of mass scraping of internet/CCTV images to build facial recognition databases,biometrics
Technology leveraging AI and machine learning for aI video and voice synthesis (deepfake) for content creation,generative_ai
AI chatbot interacting with customers for support and sales. This AI-powered system automates key processes in the customer service domain,conversational_ai
AI assessment of truthfulness or deception in interrogations or border checks. This AI-powered system automates key processes in the law enforcement domain,law_enforcement
Automated employment application: monitoring worker behavior and scoring productivity for management decisions,employment_ai
Automated gaming application: aI-driven non-player characters with adaptive behavior in video games,gaming_ai
"Technology leveraging AI and machine learning for aI determining eligibility for social welfare, housing benefits, unemployment aid",public_services
"Automated healthcare application: aI-assisted detection of tumours, fractures, and pathologies in medical imaging",healthcare_ai
Automated biometrics application: post-facto biometric identification for law enforcement investigations,biometrics
Automated monitoring and control of municipal water treatment plants,critical_infrastructure
AI system that performs personalized product and content recommendations for online shoppers,recommender_systems
"Automated media application: aI generating news articles, summaries and editorial content",generative_ai
Automated filtering of spam and phishing emails. This AI-powered system automates key processes in the email/security domain,cybersecurity
Automated customer service application: aI chatbot interacting with customers for support and sales,conversational_ai
AI system that performs aI assessment of truthfulness or deception in interrogations or border checks,law_enforcement
Technology leveraging AI and machine learning for automated filtering and ranking of job applicants from CVs,employment_ai
AI system that performs aI predicting judicial outcomes and assisting in legal interpretation,legal_ai
"AI system that performs exploiting age, disability, or socioeconomic vulnerability to distort behavior",behavioral_manipulation
Foundation model API for enterprise AI applications. This AI-powered system automates key processes in the general purpose ai domain,general_purpose_ai
Technology leveraging AI and machine learning for aI-assisted code generation and completion for software developers,code_ai
An artificial intelligence solution designed for aI-assisted code generation and completion for software developers,code_ai
A language AI tool capable of automated language translation for consumers and businesses,nlp_ai
Automated social media application: aI content recommendation and feed curation for social media users,recommender_systems
An artificial intelligence solution designed for aI chatbot interacting with customers for support and sales,conversational_ai
AI system that performs automated risk assessment and classification of asylum seekers,law_enforcement
AI system that performs aI video and voice synthesis (deepfake) for content creation,generative_ai
Technology leveraging AI and machine learning for emotion recognition systems deployed in educational institutions,education_ai
Automated allocation of work tasks and management of gig economy workers,employment_ai
"A behavioral manipulation AI tool capable of exploiting age, disability, or socioeconomic vulnerability to distort behavior",behavioral_manipulation
Technology leveraging AI and machine learning for autonomous driving and collision avoidance in road vehicles,autonomous_driving
A behavioral manipulation AI tool capable of using subliminal techniques to distort human behavior against their will,behavioral_manipulation
Mass scraping of internet/CCTV images to build facial recognition databases. This AI-powered system automates key processes in the biometrics domain,biometrics
Automated law enforcement application: aI predicting crime hotspots and individual crime likelihood for policing decisions,law_enforcement
A general purpose ai AI tool capable of general-purpose AI chatbot for consumer and enterprise use,general_purpose_ai
Automated allocation of work tasks and management of gig economy workers. This AI-powered system automates key processes in the employment domain,employment_ai
AI system that performs aI predicting crime hotspots and individual crime likelihood for policing decisions,law_enforcement
"A healthcare AI tool capable of aI-assisted detection of tumours, fractures, and pathologies in medical imaging",healthcare_ai
General-purpose AI chatbot for consumer and enterprise use,general_purpose_ai
A e-commerce AI tool capable of personalized product and content recommendations for online shoppers,recommender_systems
Technology leveraging AI and machine learning for aI content recommendation and feed curation for social media users,recommender_systems
An artificial intelligence solution designed for automated language translation for consumers and businesses,nlp_ai
AI system that performs general-purpose AI chatbot for consumer and enterprise use,general_purpose_ai
AI assessment of truthfulness or deception in interrogations or border checks,law_enforcement
Foundation model API for enterprise AI applications,general_purpose_ai
"Exploiting age, disability, or socioeconomic vulnerability to distort behavior",behavioral_manipulation
An artificial intelligence solution designed for automated allocation of work tasks and management of gig economy workers,employment_ai
AI video and voice synthesis (deepfake) for content creation,generative_ai
A employment AI tool capable of monitoring worker behavior and scoring productivity for management decisions,employment_ai
"An artificial intelligence solution designed for multimodal foundation model for search, workspace and developer APIs",general_purpose_ai
Emotion recognition systems deployed in educational institutions. This AI-powered system automates key processes in the education domain,education_ai
A social media AI tool capable of aI content recommendation and feed curation for social media users,recommender_systems
AI system that performs aI content recommendation and feed curation for social media users,recommender_systems
A justice AI tool capable of aI predicting judicial outcomes and assisting in legal interpretation,legal_ai
Personalized product and content recommendations for online shoppers. This AI-powered system automates key processes in the e-commerce domain,recommender_systems
Automated general purpose ai application: general-purpose AI chatbot for consumer and enterprise use,general_purpose_ai
Automated justice application: aI predicting judicial outcomes and assisting in legal interpretation,legal_ai
"AI system that performs inferring race, political opinion, religion, sexual orientation from biometrics",biometrics
AI predicting judicial outcomes and assisting in legal interpretation. This AI-powered system automates key processes in the justice domain,legal_ai
Technology leveraging AI and machine learning for foundation model API for enterprise AI applications,general_purpose_ai
A law enforcement AI tool capable of aI predicting crime hotspots and individual crime likelihood for policing decisions,law_enforcement
AI system that performs aI management of electricity grid load balancing and failure prevention,critical_infrastructure
"Multimodal foundation model for search, workspace and developer APIs. This AI-powered system automates key processes in the general purpose ai domain",general_purpose_ai
Post-facto biometric identification for law enforcement investigations,biometrics
Technology leveraging AI and machine learning for using subliminal techniques to distort human behavior against their will,behavioral_manipulation
Automated biometrics application: real-time remote biometric identification in public spaces by private entities,biometrics
Foundation AI model for enterprise and consumer applications,general_purpose_ai
An artificial intelligence solution designed for monitoring worker behavior and scoring productivity for management decisions,employment_ai
An artificial intelligence solution designed for aI video and voice synthesis (deepfake) for content creation,generative_ai
AI system that performs automated language translation for consumers and businesses,nlp_ai
A insurance AI tool capable of automated risk scoring for insurance pricing and coverage decisions,fintech
AI system that performs real-time remote biometric identification in public spaces by private entities,biometrics
"Technology leveraging AI and machine learning for inferring race, political opinion, religion, sexual orientation from biometrics",biometrics
"AI determining eligibility for social welfare, housing benefits, unemployment aid. This AI-powered system automates key processes in the public services domain",public_services
Autonomous driving and collision avoidance in road vehicles,autonomous_driving
"Inferring race, political opinion, religion, sexual orientation from biometrics",biometrics
Automated scoring and ranking of university applicants,education_ai
AI system that performs automated monitoring and control of municipal water treatment plants,critical_infrastructure
AI system that performs emotion recognition systems deployed in educational institutions,education_ai
"AI system that performs aI generating news articles, summaries and editorial content",generative_ai
AI-assisted code generation and completion for software developers,code_ai
An artificial intelligence solution designed for personalized product and content recommendations for online shoppers,recommender_systems
"An artificial intelligence solution designed for exploiting age, disability, or socioeconomic vulnerability to distort behavior",behavioral_manipulation
An artificial intelligence solution designed for emotion recognition systems deployed in educational institutions,education_ai
An artificial intelligence solution designed for automated creditworthiness assessment for loans and credit products,fintech
Emotion recognition systems deployed in educational institutions,education_ai
Automated monitoring and control of municipal water treatment plants. This AI-powered system automates key processes in the critical infrastructure domain,critical_infrastructure
Automated e-commerce application: personalized product and content recommendations for online shoppers,recommender_systems
Technology leveraging AI and machine learning for aI assessment of truthfulness or deception in interrogations or border checks,law_enforcement
AI management of electricity grid load balancing and failure prevention. This AI-powered system automates key processes in the critical infrastructure domain,critical_infrastructure
A email/security AI tool capable of automated filtering of spam and phishing emails,cybersecurity
A automotive AI tool capable of autonomous driving and collision avoidance in road vehicles,autonomous_driving
AI system that performs foundation AI model for enterprise and consumer applications,general_purpose_ai
Real-time remote biometric identification in public spaces by private entities. This AI-powered system automates key processes in the biometrics domain,biometrics
AI system that performs automated allocation of work tasks and management of gig economy workers,employment_ai
Real-time remote biometric identification in public spaces by private entities,biometrics
"AI generating news articles, summaries and editorial content. This AI-powered system automates key processes in the media domain",generative_ai
AI system that performs foundation model API for enterprise AI applications,general_purpose_ai
Automated general purpose ai application: open-source foundation model for unrestricted deployment,general_purpose_ai
A education AI tool capable of emotion recognition systems deployed in educational institutions,education_ai
AI system that performs aI-driven non-player characters with adaptive behavior in video games,gaming_ai
Automated media/content application: aI video and voice synthesis (deepfake) for content creation,generative_ai
"Multimodal foundation model for search, workspace and developer APIs",general_purpose_ai
A critical infrastructure AI tool capable of aI management of electricity grid load balancing and failure prevention,critical_infrastructure
An artificial intelligence solution designed for scoring individuals based on social behavior and trustworthiness,social_scoring
An artificial intelligence solution designed for mass scraping of internet/CCTV images to build facial recognition databases,biometrics
AI system that performs aI-assisted code generation and completion for software developers,code_ai
Scoring individuals based on social behavior and trustworthiness,social_scoring
AI system that performs autonomous driving and collision avoidance in road vehicles,autonomous_driving
Post-facto biometric identification for law enforcement investigations. This AI-powered system automates key processes in the biometrics domain,biometrics
An artificial intelligence solution designed for open-source foundation model for unrestricted deployment,general_purpose_ai
A media/content AI tool capable of aI video and voice synthesis (deepfake) for content creation,generative_ai
"Automated public services application: aI determining eligibility for social welfare, housing benefits, unemployment aid",public_services
Automated general purpose ai application: foundation model API for enterprise AI applications,general_purpose_ai
Automated insurance application: automated risk scoring for insurance pricing and coverage decisions,fintech
"A media AI tool capable of aI generating news articles, summaries and editorial content",generative_ai
Open-source foundation model for unrestricted deployment. This AI-powered system automates key processes in the general purpose ai domain,general_purpose_ai
"Automated general purpose ai application: multimodal foundation model for search, workspace and developer APIs",general_purpose_ai
Technology leveraging AI and machine learning for automated monitoring and control of municipal water treatment plants,critical_infrastructure
"Automated biometrics application: inferring race, political opinion, religion, sexual orientation from biometrics",biometrics
Automated filtering and ranking of job applicants from CVs. This AI-powered system automates key processes in the employment domain,employment_ai
Automated developer tools application: aI-assisted code generation and completion for software developers,code_ai
Using subliminal techniques to distort human behavior against their will. This AI-powered system automates key processes in the behavioral manipulation domain,behavioral_manipulation
A biometrics AI tool capable of post-facto biometric identification for law enforcement investigations,biometrics
An artificial intelligence solution designed for using subliminal techniques to distort human behavior against their will,behavioral_manipulation
An artificial intelligence solution designed for foundation AI model for enterprise and consumer applications,general_purpose_ai
Automated filtering and ranking of job applicants from CVs,employment_ai
An artificial intelligence solution designed for aI-driven non-player characters with adaptive behavior in video games,gaming_ai
Automated filtering of spam and phishing emails,cybersecurity
AI-driven non-player characters with adaptive behavior in video games. This AI-powered system automates key processes in the gaming domain,gaming_ai
AI system that performs monitoring worker behavior and scoring productivity for management decisions,employment_ai
An artificial intelligence solution designed for automated scoring and ranking of university applicants,education_ai
Automated risk scoring for insurance pricing and coverage decisions. This AI-powered system automates key processes in the insurance domain,fintech
An artificial intelligence solution designed for real-time remote biometric identification in public spaces by private entities,biometrics
Autonomous driving and collision avoidance in road vehicles. This AI-powered system automates key processes in the automotive domain,autonomous_driving
Automated critical infrastructure application: automated monitoring and control of municipal water treatment plants,critical_infrastructure
A law enforcement AI tool capable of aI assessment of truthfulness or deception in interrogations or border checks,law_enforcement
"An artificial intelligence solution designed for aI generating news articles, summaries and editorial content",generative_ai
AI-driven non-player characters with adaptive behavior in video games,gaming_ai
Technology leveraging AI and machine learning for aI predicting judicial outcomes and assisting in legal interpretation,legal_ai
Automated employment application: automated allocation of work tasks and management of gig economy workers,employment_ai
Automated automotive application: autonomous driving and collision avoidance in road vehicles,autonomous_driving
AI predicting crime hotspots and individual crime likelihood for policing decisions,law_enforcement
Automated scoring and ranking of university applicants. This AI-powered system automates key processes in the education domain,education_ai
Technology leveraging AI and machine learning for personalized product and content recommendations for online shoppers,recommender_systems
Technology leveraging AI and machine learning for aI-driven non-player characters with adaptive behavior in video games,gaming_ai
AI content recommendation and feed curation for social media users,recommender_systems
AI system that performs automated scoring and ranking of university applicants,education_ai
AI video and voice synthesis (deepfake) for content creation. This AI-powered system automates key processes in the media/content domain,generative_ai
"Automated behavioral manipulation application: exploiting age, disability, or socioeconomic vulnerability to distort behavior",behavioral_manipulation
"Technology leveraging AI and machine learning for multimodal foundation model for search, workspace and developer APIs",general_purpose_ai
"AI-assisted detection of tumours, fractures, and pathologies in medical imaging",healthcare_ai
Automated financial services application: automated creditworthiness assessment for loans and credit products,fintech
Using subliminal techniques to distort human behavior against their will,behavioral_manipulation
AI system that performs automated filtering and ranking of job applicants from CVs,employment_ai
Technology leveraging AI and machine learning for general-purpose AI chatbot for consumer and enterprise use,general_purpose_ai
A employment AI tool capable of automated filtering and ranking of job applicants from CVs,employment_ai
Automated creditworthiness assessment for loans and credit products,fintech
An artificial intelligence solution designed for aI content recommendation and feed curation for social media users,recommender_systems
Technology leveraging AI and machine learning for automated allocation of work tasks and management of gig economy workers,employment_ai
"A biometrics AI tool capable of inferring race, political opinion, religion, sexual orientation from biometrics",biometrics
Automated risk assessment and classification of asylum seekers. This AI-powered system automates key processes in the migration domain,law_enforcement
"AI determining eligibility for social welfare, housing benefits, unemployment aid",public_services
Technology leveraging AI and machine learning for open-source foundation model for unrestricted deployment,general_purpose_ai
Technology leveraging AI and machine learning for automated risk scoring for insurance pricing and coverage decisions,fintech
"AI-assisted detection of tumours, fractures, and pathologies in medical imaging. This AI-powered system automates key processes in the healthcare domain",healthcare_ai
Personalized product and content recommendations for online shoppers,recommender_systems
A employment AI tool capable of automated allocation of work tasks and management of gig economy workers,employment_ai
Technology leveraging AI and machine learning for mass scraping of internet/CCTV images to build facial recognition databases,biometrics
An artificial intelligence solution designed for automated filtering and ranking of job applicants from CVs,employment_ai
Automated language translation for consumers and businesses. This AI-powered system automates key processes in the language domain,nlp_ai
"AI system that performs aI determining eligibility for social welfare, housing benefits, unemployment aid",public_services
"A public services AI tool capable of aI determining eligibility for social welfare, housing benefits, unemployment aid",public_services
Technology leveraging AI and machine learning for post-facto biometric identification for law enforcement investigations,biometrics
An artificial intelligence solution designed for aI predicting crime hotspots and individual crime likelihood for policing decisions,law_enforcement
Foundation AI model for enterprise and consumer applications. This AI-powered system automates key processes in the general purpose ai domain,general_purpose_ai
Technology leveraging AI and machine learning for aI chatbot interacting with customers for support and sales,conversational_ai
AI content recommendation and feed curation for social media users. This AI-powered system automates key processes in the social media domain,recommender_systems
An artificial intelligence solution designed for automated filtering of spam and phishing emails,cybersecurity
Mass scraping of internet/CCTV images to build facial recognition databases,biometrics
AI system that performs using subliminal techniques to distort human behavior against their will,behavioral_manipulation
Technology leveraging AI and machine learning for automated risk assessment and classification of asylum seekers,law_enforcement
Automated employment application: automated filtering and ranking of job applicants from CVs,employment_ai
Monitoring worker behavior and scoring productivity for management decisions,employment_ai
Automated creditworthiness assessment for loans and credit products. This AI-powered system automates key processes in the financial services domain,fintech
"An artificial intelligence solution designed for aI-assisted detection of tumours, fractures, and pathologies in medical imaging",healthcare_ai
AI system that performs automated creditworthiness assessment for loans and credit products,fintech
A migration AI tool capable of automated risk assessment and classification of asylum seekers,law_enforcement
A general purpose ai AI tool capable of open-source foundation model for unrestricted deployment,general_purpose_ai
Automated risk scoring for insurance pricing and coverage decisions,fintech
AI predicting judicial outcomes and assisting in legal interpretation,legal_ai
AI chatbot interacting with customers for support and sales,conversational_ai
Automated critical infrastructure application: aI management of electricity grid load balancing and failure prevention,critical_infrastructure
AI system that performs mass scraping of internet/CCTV images to build facial recognition databases,biometrics
An artificial intelligence solution designed for automated risk scoring for insurance pricing and coverage decisions,fintech
AI system that performs open-source foundation model for unrestricted deployment,general_purpose_ai
An artificial intelligence solution designed for post-facto biometric identification for law enforcement investigations,biometrics
AI system that performs automated risk scoring for insurance pricing and coverage decisions,fintech
A education AI tool capable of automated scoring and ranking of university applicants,education_ai
Automated language application: automated language translation for consumers and businesses,nlp_ai
"AI generating news articles, summaries and editorial content",generative_ai
AI system that performs post-facto biometric identification for law enforcement investigations,biometrics
AI management of electricity grid load balancing and failure prevention,critical_infrastructure
A biometrics AI tool capable of real-time remote biometric identification in public spaces by private entities,biometrics
An artificial intelligence solution designed for foundation model API for enterprise AI applications,general_purpose_ai
AI-assisted code generation and completion for software developers. This AI-powered system automates key processes in the developer tools domain,code_ai
An artificial intelligence solution designed for aI predicting judicial outcomes and assisting in legal interpretation,legal_ai
Technology leveraging AI and machine learning for foundation AI model for enterprise and consumer applications,general_purpose_ai
An artificial intelligence solution designed for autonomous driving and collision avoidance in road vehicles,autonomous_driving
Technology leveraging AI and machine learning for real-time remote biometric identification in public spaces by private entities,biometrics
Automated biometrics application: mass scraping of internet/CCTV images to build facial recognition databases,biometrics
An artificial intelligence solution designed for general-purpose AI chatbot for consumer and enterprise use,general_purpose_ai
"AI system that performs multimodal foundation model for search, workspace and developer APIs",general_purpose_ai
Technology leveraging AI and machine learning for automated creditworthiness assessment for loans and credit products,fintech
An artificial intelligence solution designed for aI assessment of truthfulness or deception in interrogations or border checks,law_enforcement
Automated general purpose ai application: foundation AI model for enterprise and consumer applications,general_purpose_ai
Automated law enforcement application: aI assessment of truthfulness or deception in interrogations or border checks,law_enforcement
Scoring individuals based on social behavior and trustworthiness. This AI-powered system automates key processes in the social scoring domain,social_scoring
AI system that performs scoring individuals based on social behavior and trustworthiness,social_scoring
Automated education application: emotion recognition systems deployed in educational institutions,education_ai
Technology leveraging AI and machine learning for automated language translation for consumers and businesses,nlp_ai
A gaming AI tool capable of aI-driven non-player characters with adaptive behavior in video games,gaming_ai
Automated email/security application: automated filtering of spam and phishing emails,cybersecurity
Automated migration application: automated risk assessment and classification of asylum seekers,law_enforcement
Automated risk assessment and classification of asylum seekers,law_enforcement
An artificial intelligence solution designed for automated monitoring and control of municipal water treatment plants,critical_infrastructure
A general purpose ai AI tool capable of foundation model API for enterprise AI applications,general_purpose_ai
A customer service AI tool capable of aI chatbot interacting with customers for support and sales,conversational_ai
A developer tools AI tool capable of aI-assisted code generation and completion for software developers,code_ai
AI system that performs automated filtering of spam and phishing emails,cybersecurity
"AI system that performs aI-assisted detection of tumours, fractures, and pathologies in medical imaging",healthcare_ai
Automated social scoring application: scoring individuals based on social behavior and trustworthiness,social_scoring
